byte,cdf,,,,
100,0.0000000,,,,
113.3333333,0.0141667,,,,
126.6666667,0.0283333,,,,
140,0.0425000,,,,
153.3333333,0.0566667,,,,
166.6666667,0.0708333,,,,
180,0.0850000,,,,
191.6666667,0.0941667,,,,
203.3333333,0.1033333,,,,
215,0.1125000,,,,
226.6666667,0.1216667,,,,
238.3333333,0.1308333,,,,
250,0.1400000,,,,
301.6666667,0.1716667,,,,
353.3333333,0.2033333,,,,
405,0.2350000,,,,
456.6666667,0.2666667,,,,
508.3333333,0.2983333,,,,
560,0.3300000,,,,
616.6666667,0.3533333,,,,
673.3333333,0.3766667,,,,
730,0.4000000,,,,
786.6666667,0.4233333,,,,
843.3333333,0.4466667,,,,
900,0.4700000,,,,
933.3333333,0.4833333,,,,
966.6666667,0.4966667,,,,
1000,0.5100000,,,,
1033.333333,0.5233333,,,,
1066.666667,0.5366667,,,,
1100,0.5500000,,,,
1228.333333,0.5666667,,,,
1356.666667,0.5833333,,,,
1485,0.6000000,,,,
1613.333333,0.6166667,,,,
1741.666667,0.6333333,,,,
1870,0.6500000,,,,
2085,0.6583333,,,,
2300,0.6666667,,,,
2515,0.6750000,,,,
2730,0.6833333,,,,
2945,0.6916667,,,,
3160,0.7000000,,,,
4300,0.7166667,,,,
5440,0.7333333,,,,
6580,0.7500000,,,,
7720,0.7666667,,,,
8860,0.7833333,,,,
10000,0.8000000,,,,
25000.16667,0.8123333,,,,
40000.33333,0.8246667,,,,
55000.5,0.8370000,,,,
70000.66667,0.8493333,,,,
85000.83333,0.8616667,,,,
100001,0.8740000,,,,
150000.8333,0.8783333,,,,
200000.6667,0.8826667,,,,
250000.5,0.8870000,,,,
300000.3333,0.8913333,,,,
350000.1667,0.8956667,,,,
400000,0.9000000,,,,
641666.6667,0.9083333,,,,
883333.3333,0.9166667,,,,
1.13E+06,0.9250000,,,,
1.37E+06,0.9333333,,,,
1.61E+06,0.9416667,,,,
1850000,0.9500000,,,,
3.21E+06,0.9533333,,,,
4.57E+06,0.9566667,,,,
5.93E+06,0.9600000,,,,
7.28E+06,0.9633333,,,,
8.64E+06,0.9666667,,,,
10000000,0.9700000,,,,
1.33E+07,0.9716667,,,,
1.67E+07,0.9733333,,,,
2.00E+07,0.9750000,,,,
2.33E+07,0.9766667,,,,
2.67E+07,0.9783333,,,,
30000000,0.9800000,,,,
4.17E+07,0.9816667,,,,
5.33E+07,0.9833333,,,,
6.50E+07,0.9850000,,,,
7.67E+07,0.9866667,,,,
8.83E+07,0.9883333,,,,
100000000,0.9900000,,,,
1.25E+08,0.9908333,,,,
1.50E+08,0.9916667,,,,
1.75E+08,0.9925000,,,,
2.00E+08,0.9933333,,,,
2.25E+08,0.9941667,,,,
250000000,0.9950000,,,,
3.75E+08,0.9958333,,,,
5.00E+08,0.9966667,,,,
6.25E+08,0.9975000,,,,
7.50E+08,0.9983333,,,,
8.75E+08,0.9991667,,,,
1000000000,1.0000000,,,,
